id;nom;prenom;email;phone_number;address_compte;code_p_compte;ville_compte
1;IB connecting;protocol azure fuchsia;"TOa@etu1univ-grenoble-alpes.com";;Soap Handcrafted;;capacitor d'Azur
2;magenta d'Azur Toys;Concrete transmitting;"o@hotmail.fr";;Awesome;;transmit Towels
3;bifurcated;index Ouguiya AGP;"m_7BmE@gmail.com";;Lettonie Mouse Franc;;deposit Plastic
4;Cambridgeshire;dynamic;"IDu6EG@univ-grenoble-alpess.com";;Saint-Honoré Aquitaine a;;Centralized Agent
5;Ameliorated b architect;programming copy internet;"NNrj@univ-grenoble-alpess.fr";;frame Keyboard tangible;;optimize
6;Stagiaire Djibouti;generate monetize sticky;"TlHOR@imag.com";;BCEAO;;card schemas
7;holistic c;Ball;"SkC@yahoo.fr";;Account b;;compress
8;redundant;copy;"qjggxv@yahoo.com";;functionalities b;;b Decentralized
9;killer application Franche-Comté;Optional;"1@etuvuniv-grenoble-alpes.fr";;cultivate;;hierarchy
10;Chair;Small compress Pastourelle;"mJA@yahoo.com";;b e-services;;Alsace Luxembourg
