id;num_carte;date_expiration;type_carte;montant;date_facture
1;;2021-04-06T16:49:29;"K";disintermediate Table Open-architected;2021-04-06T07:25:38
2;;2021-04-06T13:41:54;"lXwZtU";c User-centric Table;2021-04-06T00:48:37
3;;2021-04-05T21:36:32;"agX";a Yemeni;2021-04-06T13:30:01
4;;2021-04-06T00:07:12;"V_W";sexy Hat salmon;2021-04-06T06:19:09
5;;2021-04-06T12:33:01;"idf";transmitting;2021-04-06T09:13:00
6;;2021-04-06T11:12:07;"waPA";copy technologies auxiliary;2021-04-06T02:46:29
7;;2021-04-06T12:32:47;"jHQFSA";Small Adaptive;2021-04-06T18:39:30
8;;2021-04-05T23:20:12;"Cqu";dynamic;2021-04-05T23:30:46
9;;2021-04-06T18:54:57;"zNf";Unbranded haptic;2021-04-06T15:41:20
10;;2021-04-05T23:36:08;"aaHw";streamline Éthiopie;2021-04-06T06:31:43
